fold_id,entanglement,feature_map_reps,ansatz_reps,element test,actual test,predicted test,element train,actual train,predicted train,final_train_loss,final_test_loss,gpu_mem_allocated,gpu_mem_max_allocated
3,linear,1,1,['Sc'],[1],[0],['Be' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl' 'Tc'],[0 1 0 1 1 0 1 1 1 1 0 0 0 0 0 1 1 0 1 0],[0 1 0 1 1 1 1 1 0 0 0 0 1 0 0 1 1 0 1 0],0.6458402872085571,0.7682545185089111,,
3,linear,1,2,['Sc'],[1],[0],['Be' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl' 'Tc'],[0 1 0 0 1 1 1 0 1 1 0 1 0 0 1 1 0 0 0 1],[0 1 0 0 1 1 1 0 1 1 1 1 1 0 0 1 1 0 1 1],0.6458224058151245,0.6991242170333862,,
3,linear,1,3,['Sc'],[1],[0],['Be' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl' 'Tc'],[1 1 1 0 1 1 1 0 0 0 0 0 0 1 1 0 0 1 0 1],[1 1 1 1 1 1 1 0 1 1 1 0 0 1 0 0 0 1 0 1],0.6208273768424988,0.7259567975997925,,
3,linear,1,4,['Sc'],[1],[1],['Be' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl' 'Tc'],[0 1 0 0 1 1 1 1 0 0 0 0 1 0 0 1 1 0 1 1],[0 1 0 0 0 1 1 1 1 0 1 0 1 1 1 1 0 0 1 1],0.6464756727218628,0.682323694229126,,
3,linear,1,5,['Sc'],[1],[0],['Be' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl' 'Tc'],[0 1 0 0 1 1 1 1 1 1 1 0 0 1 0 0 1 0 0 0],[0 0 0 0 1 0 1 1 1 1 1 0 0 1 0 1 1 0 0 0],0.5646180510520935,0.8483304977416992,,
3,linear,1,6,['Sc'],[1],[1],['Be' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl' 'Tc'],[1 0 0 1 1 1 1 0 0 0 1 0 0 0 0 1 1 1 0 1],[1 0 0 1 1 0 1 0 1 0 1 1 0 1 0 1 1 0 1 1],0.6070050001144409,0.6704951524734497,,
3,linear,2,1,['Sc'],[1],[1],['Be' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl' 'Tc'],[1 0 0 0 1 0 0 1 0 1 0 0 0 0 1 1 1 1 1 1],[1 0 0 0 1 1 0 1 0 1 1 0 0 0 1 1 0 1 0 1],0.6135092377662659,0.6404937505722046,,
3,linear,2,2,['Sc'],[1],[0],['Be' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl' 'Tc'],[1 0 0 0 1 1 1 1 0 1 0 1 1 0 1 0 0 0 1 0],[0 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 0 0 1 0],0.6470968723297119,0.7033118009567261,,
3,linear,2,3,['Sc'],[1],[1],['Be' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl' 'Tc'],[1 1 0 0 0 0 0 1 1 1 0 0 0 0 1 1 1 0 1 1],[1 1 1 1 0 1 0 1 1 1 0 1 1 0 1 1 1 1 1 1],0.6471304893493652,0.6496444940567017,,
3,linear,2,4,['Sc'],[1],[0],['Be' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl' 'Tc'],[1 0 1 1 1 0 0 1 1 1 0 0 0 1 0 0 0 1 1 0],[0 0 1 1 1 0 0 1 1 1 0 1 0 1 1 0 0 1 1 1],0.6216195821762085,0.7490812540054321,,
3,linear,2,5,['Sc'],[1],[0],['Be' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl' 'Tc'],[1 1 1 1 0 0 0 1 1 1 1 0 0 0 0 0 0 1 1 0],[1 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 1 1 0],0.5741935968399048,0.8248955011367798,,
3,linear,2,6,['Sc'],[1],[0],['Be' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl' 'Tc'],[1 1 0 1 0 1 0 0 0 1 1 0 0 1 0 1 0 1 1 0],[1 1 1 1 0 1 1 0 1 1 1 1 1 1 0 1 0 1 1 1],0.5892674326896667,0.7659488320350647,,
3,linear,3,1,['Sc'],[1],[0],['Be' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Er' 'Tm' 'Lu' 'Re' 'Os' 'Tl' 'Tc'],[1 0 0 1 0 1 0 0 1 1 1 1 1 0 0 0 0 1 0 1],[1 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 1],0.6800212264060974,0.741414487361908,,
