fold_id,feature_map_name,feature_map_reps,ansatz_reps,entanglement,element test,actual test,predicted test,element train,actual train,predicted train,R2 train
2,Pauli,1,1,linear,['Er'],[8.45],[14.06589844],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  7.82  8.96  9.75 35.35 38.54 22.09],[17.91044817 19.57699448 17.07209176 26.69855663 20.50102383  7.03717376 23.42736757 34.78483146 37.12787988  9.27503227  7.59145392  6.97736988  7.54457873  8.91136162 10.64192777 17.18978731 20.88179697 22.19791367 20.84359227 21.98137412],0.6944353769782896
2,Pauli,1,1,full,['Er'],[8.45],[15.14428309],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  7.82  8.96  9.75 35.35 38.54 22.09],[21.38801599 19.83795355 18.8561779  28.78422673 24.63475748 11.68999865 20.9054898  31.25928563 33.92006883 12.94490634 10.85898683 11.22080012 12.30127412 13.31030843 13.80450992 15.67116337 16.26722503 28.05326038 15.59133106 21.7518812 ],0.6250560140696391
2,Pauli,1,1,circular,['Er'],[8.45],[15.14383075],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  7.82  8.96  9.75 35.35 38.54 22.09],[21.38867921 19.83761758 18.85616628 28.78341024 24.63527872 11.68988167 20.90428886 31.25944972 33.92101657 12.94535953 10.85919833 11.22069661 12.30086448 13.30984529 13.80403986 15.67074746 16.26679829 28.05324617 15.59106368 21.75154034],0.6250560158592766
2,Pauli,1,2,linear,['Er'],[8.45],[8.43418944],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  7.82  8.96  9.75 35.35 38.54 22.09],[20.29012416 18.37628142 15.58639396 24.75855751 20.79892923  8.252644   20.15973932 33.55596222 33.6338009   7.52161438  5.85133982  6.72893088  5.84521877  6.14155795  6.67912949 10.28749404 12.93810963 26.98351708 22.45606338 21.2822057 ],0.7857608494140611
2,Pauli,1,2,full,['Er'],[8.45],[10.73586513],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  7.82  8.96  9.75 35.35 38.54 22.09],[25.82016896 17.94339607 18.28984869 26.93491961 21.43473272 10.76287233 16.17715021 31.67844106 29.04355012  5.00944559  4.77354983  7.53160733  9.43078977 10.88496091 10.89079593  9.66106952  7.98003214 35.1931784  21.23989247 23.70008001],0.7851775612159019
2,Pauli,1,2,circular,['Er'],[8.45],[11.19897769],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  7.82  8.96  9.75 35.35 38.54 22.09],[25.68933144 18.70079107 20.81320002 28.16657571 20.69407183 11.49276463 16.18074437 32.20466688 29.48802451  6.51081801  6.32045582  8.12161529  9.97353397 11.63529311 11.52519701  9.81836704  7.7565128  35.13776681 22.13045987 23.97364537],0.7967375201169427
2,Pauli,1,3,linear,['Er'],[8.45],[9.54591567],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  7.82  8.96  9.75 35.35 38.54 22.09],[20.68422559 20.49956144 19.13373256 28.73263297 23.98330022  5.77527143 20.80531281 29.68905492 34.74792422  7.73616625  7.13708824  5.5631644   5.78309632  5.87934868  7.19450639 12.25154594 15.28999598 28.12049405 22.14552555 24.68895371],0.7991488977963934
2,Pauli,1,3,full,['Er'],[8.45],[11.64380118],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  7.82  8.96  9.75 35.35 38.54 22.09],[25.68183326 17.78927522 24.02338397 30.99186223 24.26263214 11.80010225 16.30705434 34.02693032 30.70737161  4.93328346  4.45350506  8.20059037  9.43646197 11.34543786 11.55654431 10.95857021 10.01919243 34.31894315 22.81031582 23.23778204],0.8405668420203849
2,Pauli,1,3,circular,['Er'],[8.45],[12.6500146],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  7.82  8.96  9.75 35.35 38.54 22.09],[25.44941097 17.81616183 22.50366646 31.21217879 21.87051886 13.28736381 16.04411006 32.18756111 30.34360338  5.50463368  3.67073708  8.54877136  8.33622888 11.50439963 11.8157098  11.92896569 10.97089418 32.00323094 23.34238522 26.15149696],0.829878240227544
2,Pauli,1,4,linear,['Er'],[8.45],[9.90527164],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  7.82  8.96  9.75 35.35 38.54 22.09],[23.18994761 17.97069981 20.48433129 29.59341065 24.55491855  7.07226128 21.3394198  31.71102108 37.22897226 11.10804076  6.98982277  4.79816046  5.62372626  7.217155    8.1566717  10.95773133 12.98741605 31.01500038 31.05564837 24.15259793],0.894519030692444
2,Pauli,1,4,full,['Er'],[8.45],[13.05897978],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  7.82  8.96  9.75 35.35 38.54 22.09],[25.60082853 16.56102909 24.36132499 30.85074062 24.01196958 12.44391883 16.2045299  34.55317089 31.61266772  4.49584525  2.74714906  7.91590613  8.30217428 11.40972991 12.03723992 12.6425851  11.79714728 32.90496789 23.12253583 25.03729977],0.8455595492459983
2,Pauli,1,4,circular,['Er'],[8.45],[13.17127102],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  7.82  8.96  9.75 35.35 38.54 22.09],[23.28672986 16.59356769 20.87729534 25.15054282 21.44025324 13.39254573 16.39996645 31.3550152  31.21032827  8.14603105  5.82604339  8.51852338  9.83787735 12.31217668 12.48369971 12.49935038 11.13474768 33.79609787 27.36491386 20.00998299],0.8152158457356136
2,Pauli,1,5,linear,['Er'],[8.45],[9.95946158],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  7.82  8.96  9.75 35.35 38.54 22.09],[23.69639444 18.19653249 20.54227976 29.67874645 24.25607122  7.45532863 21.71876986 31.89434089 36.76790988 10.62031176  6.60277235  4.96006076  5.3252485   7.03169931  8.02058618 11.20467546 13.42636596 30.98588586 31.19385705 23.91281691],0.8990306321785083
2,Pauli,1,5,full,['Er'],[8.45],[12.69605449],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  7.82  8.96  9.75 35.35 38.54 22.09],[26.16786498 15.92863682 24.08332487 32.10967758 24.65511146 12.89475699 16.03599531 33.70664053 31.65075196  5.42738491  3.41465022  8.13553033  8.60328615 11.57679646 12.04095849 12.02537033 11.16396909 33.65139525 23.88972606 23.0820325 ],0.8531967630036674
2,Pauli,1,5,circular,['Er'],[8.45],[12.72868014],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  7.82  8.96  9.75 35.35 38.54 22.09],[26.16147498 15.92538822 24.07228941 32.1427735  24.63180641 12.88765746 16.05020503 33.69196885 31.63160584  5.4164843   3.39565574  8.12498483  8.60398352 11.59191847 12.06524938 12.06029375 11.19198822 33.66277078 23.89162707 23.13051705],0.8531976502966669
2,Pauli,2,1,linear,['Er'],[8.45],[14.49379161],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  7.82  8.96  9.75 35.35 38.54 22.09],[16.52887791 21.25692168 23.49831632 28.40747791 19.94986983 12.46001896 23.39458791 22.74553425 20.38670508 13.53573291 10.99154941 11.45548553 12.69261424 14.10639955 14.7726539  14.0586274  14.34462734 13.89144621 21.94647068 17.91239442],0.4124075715824117
2,Pauli,2,1,full,['Er'],[8.45],[17.81820933],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  7.82  8.96  9.75 35.35 38.54 22.09],[22.90155545 17.34578615 22.34462007 27.25102568 21.01041335 16.20283741 24.03320277 33.87198278 31.37875427  8.16202033  8.4998023  14.429045   13.80727886 16.18331836 16.85519398 15.48057422 14.167985   26.11985805 22.37349837 19.06015555],0.6764012908956646
2,Pauli,2,1,circular,['Er'],[8.45],[17.81835012],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  7.82  8.96  9.75 35.35 38.54 22.09],[22.90211942 17.3504377  22.34054088 27.24887094 21.01092199 16.20242911 24.03438369 33.87250778 31.37761808  8.16105598  8.49827536 14.4286581  13.80990031 16.18545343 16.85674658 15.47980901 14.16566833 26.12230348 22.37516129 19.06368506],0.6764012392000663
2,Pauli,2,2,linear,['Er'],[8.45],[7.14958538],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  7.82  8.96  9.75 35.35 38.54 22.09],[20.96351983 19.9867568  23.29265908 26.0980089  20.74316628 10.21527195 23.06260857 27.71978845 30.16780765 16.83943691 16.62604317 11.1773031  10.4238035   9.53271833  8.38729176  6.21092806  8.77454959 20.66527849 18.14408045 19.63269517],0.5467640965654474
2,Pauli,2,2,full,['Er'],[8.45],[8.89872877],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  7.82  8.96  9.75 35.35 38.54 22.09],[18.87311531 14.85234575 18.81563312 23.62025729 16.69816322 13.4438964  22.11313919 28.51022934 31.38676301  9.42700872  8.1200537  12.51795529 11.46864902  9.75898871  9.05276732 10.32849371  9.55515153 21.89756535 23.22006462 18.67541622],0.6834143481656807
2,Pauli,2,2,circular,['Er'],[8.45],[11.26949698],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  7.82  8.96  9.75 35.35 38.54 22.09],[24.90955388 19.92637788 22.48170473 29.65295904 21.23578941 11.18008249 26.21224496 26.35871405 34.16273144  4.66506137  6.49808034 10.84312104 12.53720829 12.77264046 11.74410738  9.56342814  9.45264314 24.22440406 21.66350731 26.17807528],0.753745260536351
2,Pauli,2,3,linear,['Er'],[8.45],[9.96423874],['Be' 'Sc' 'Ti' 'Co' 'Zn' 'Y' 'Zr' 'Tc' 'Ru' 'Pr' 'Nd' 'Gd' 'Tb' 'Dy' 'Ho' 'Tm' 'Lu' 'Re' 'Os' 'Tl'],[23.48 16.16 24.44 37.64 20.98  8.52 22.18 36.19 40.5   1.65  0.25  5.2   6.17  7.06  7.82  8.96  9.75 35.35 38.54 22.09],[19.6510397  20.06008335 25.16224314 26.14809036 20.66935095 11.23050526 20.90345245 26.90669399 29.96027244 16.37643721 16.52381133 11.95751443  8.68661832  8.46968187  8.91523271  9.80804626  8.78962767 23.12065934 19.50210496 20.55967143],0.5824186398360274
